genus,species,family,demersal,benthopelagic,bathydemersal,pelagic,pelagic-neritic,pelagic-oceanic,reef-associated,epipelagic,mesopelagic,bathypelagic,abyssopelagic,marine,freshwater,brackish,anadromous,catadromous,amphidromous,potamodromous,limnodromous,oceanodromous,non-migratory,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,min_ph,max_ph,min_dh,max_dh,url
metzia,lineata,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Metzia_lineata.html
pseudochromis,olivaceus,pseudochromidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,20.0,1.0,20.0,,,,,https://www.fishbase.ca/summary/Pseudochromis_olivaceus.html
nocomis,micropogon,Cyprinidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Nocomis_micropogon.html
plectropomus,laevis,Serranidae,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,4.0,100.0,,,,,,,https://www.fishbase.se/summary/Plectropomus_laevis.html
hyporhamphus,limbatus,hemiramphidae,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,0.0,?,,,,,,,https://www.fishbase.se/summary/Hyporhamphus_limbatus.html
garra,culiciphaga,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Garra_culiciphaga.html
pontinus,rhodochrous,scorpaenidae,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,223.0,369.0,,,,,,,https://www.fishbase.net.br/summary/Pontinus_rhodochrous.html
lepidomeda,aliciae,Cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Lepidomeda_aliciae.html
ostracion,trachys,ostraciidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,15.0,30.0,,,,,,,https://www.fishbase.ca/summary/Ostracion_trachys.html
tetraodon,lineatus,tetraodontidae,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Tetraodon_lineatus.html
caracanthus,madagascariensis,scorpaenidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Caracanthus_madagascariensis.html
notropis,uranoscopus,Cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Notropis_uranoscopus.html
harengula,clupeola,clupeidae,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,0.0,50.0,,,,,,,https://www.fishbase.se/summary/Harengula_clupeola.html
brycinus,carolinae,alestidae,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Brycinus_carolinae.html
rhamdia,laukidi,heptapteridae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Rhamdia_laukidi.html
doederleinia,berycoides,acropomatidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,100.0,600.0,,,,,,,https://www.fishbase.ca/summary/Doederleinia_berycoides.html
entomacrodus,sealei,blenniidae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,3.0,,,,,,,https://www.fishbase.ca/summary/Entomacrodus_sealei.html
plectranthias,fourmanoiri,serranidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,5.0,44.0,,,,,,,https://www.fishbase.se/summary/Plectranthias_fourmanoiri.html
labrisomus,cricota,labrisomidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,0.0,4.0,,,,,,,https://www.fishbase.se/summary/Labrisomus_cricota.html
repomucenus,sagitta,callionymidae,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Repomucenus_sagitta.html
thryssa,hamiltonii,engraulidae,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,,,,8.0,12.0,,,,,,,https://www.fishbase.ca/summary/Thryssa_hamiltonii.html
etheostoma,asprigene,percidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Etheostoma_asprigene.html
pseudobalistes,flavimarginatus,balistidae,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,2.0,80.0,,,,,,,https://www.fishbase.ca/summary/Pseudobalistes_flavimarginatus.html
oreochromis,niloticus,cichlidae,,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,0.0,20.0,?,20.0,,,,,https://www.fishbase.se/summary/Oreochromis_niloticus.html
acanthoplesiops,indicus,plesiopidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,7.0,,,,,,,https://www.fishbase.ca/summary/Acanthoplesiops_indicus.html
suttonia,lineata,serranidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,61.0,,,,,,,https://www.fishbase.de/summary/Suttonia_lineata.html
erimyzon,sucetta,Catostomidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,7.0,7.5,,,https://www.fishbase.net.br/summary/Erimyzon_sucetta.html
noturus,leptacanthus,ictaluridae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Noturus_leptacanthus.html
entomacrodus,niuafoouensis,blenniidae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Entomacrodus_niuafoouensis.html
notarius,lentiginosus,ariidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Notarius_lentiginosus.html
chaetodon,mertensii,chaetodontidae,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,0.0,120.0,,,,,,,https://www.fishbase.se/summary/Chaetodon_mertensii.html
epinephelus,areolatus,serranidae,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,6.0,200.0,,,,,,,https://www.fishbase.ca/summary/Epinephelus_areolatus.html
mycteroperca,bonaci,serranidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,60.0,250.0,,,,,,,https://www.fishbase.de/summary/Mycteroperca_bonaci.html
hybognathus,amarus,cyprinidae,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Hybognathus_amarus.html
sufflamen,bursa,balistidae,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,120.0,,,,,,,https://www.fishbase.net.br/summary/Sufflamen_bursa.html
norfolkia,thomasi,tripterygiidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,20.0,,,,,,,https://www.fishbase.ca/summary/Norfolkia_thomasi.html
gymnothorax,margaritophorus,Muraenidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,25.0,,,,,,,https://www.fishbase.ca/summary/Gymnothorax_margaritophorus.html
oxycheilinus,orientalis,labridae,,,,,,,1.0,,,,,1.0,,,,,,,,,,0.0,80.0,,,,,,,https://www.fishbase.se/summary/Oxycheilinus_orientalis.html
elagatis,bipinnulata,carangidae,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,0.0,150.0,2.0,10.0,,,,,https://www.fishbase.se/summary/Elagatis_bipinnulata.html
acanthistius,cinctus,serranidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,30.0,?,,,,,,,https://www.fishbase.de/summary/Acanthistius_cinctus.html
sphyraena,barracuda,sphyraenidae,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,0.0,100.0,3.0,30.0,,,,,https://www.fishbase.net.br/summary/Sphyraena_barracuda.html
abbottina,rivularis,cyprinidae,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Abbottina_rivularis.html
triacanthodes,anomalus,Triacanthodidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Triacanthodes_anomalus.html
eleotris,sandwicensis,eleotridae,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,https://www.fishbase.ca/summary/Eleotris_sandwicensis.html
notropis,semperasper,Cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Notropis_semperasper.html
lethrinus,semicinctus,lethrinidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,4.0,35.0,,,,,,,https://www.fishbase.ca/summary/Lethrinus_semicinctus.html
zoramia,fragilis,apogonidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,15.0,,,,,,,https://www.fishbase.de/summary/Zoramia_fragilis.html
scarus,niger,Scaridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,30.0,,,,,,,https://www.fishbase.net.br/summary/Scarus_niger.html
lutjanus,sebae,Lutjanidae,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,5.0,180.0,,,,,,,https://www.fishbase.se/summary/Lutjanus_sebae.html
callogobius,okinawae,gobiidae,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,0.0,12.0,,,,,,,https://www.fishbase.ca/summary/Callogobius_okinawae.html
ctenogobius,saepepallens,gobiidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,40.0,,,,,,,https://www.fishbase.ca/summary/Ctenogobius_saepepallens.html
metzia,formosae,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Metzia_formosae.html
pleurosicya,fringilla,gobiidae,1.0,,,,,,,,,,,1.0,,,,,,,,,,?,30.0,3.0,15.0,,,,,https://www.fishbase.se/summary/Pleurosicya_fringilla.html
hesperoleucus,symmetricus,cyprinidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Hesperoleucus_symmetricus.html
esox,niger,esocidae,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,?,6.0,,,,,,,https://www.fishbase.ca/summary/Esox_niger.html
myloplus,rubripinnis,serrasalmidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,7.0,,,https://www.fishbase.net.br/summary/Myloplus_rubripinnis.html
labropsis,manabei,Labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,5.0,30.0,5.0,20.0,,,,,https://www.fishbase.ca/summary/Labropsis_manabei.html
codoma,ornata,Cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Codoma_ornata.html
corydoras,sychri,callichthyidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,6.0,8.0,2.0,25.0,https://www.fishbase.se/summary/Corydoras_sychri.html
chlorurus,strongylocephalus,scaridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,2.0,35.0,,,,,,,https://www.fishbase.ca/summary/Chlorurus_strongylocephalus.html
plectropomus,areolatus,Serranidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,20.0,,,,,,,https://www.fishbase.de/summary/Plectropomus_areolatus.html
atherion,maccullochi,atherinidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Atherion_maccullochi.html
petrocephalus,sullivani,mormyridae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Petrocephalus_sullivani.html
epinephelus,marginatus,Serranidae,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,8.0,300.0,?,50.0,,,,,https://www.fishbase.ca/summary/Epinephelus_marginatus.html
pomacentrus,pavo,pomacentridae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,18.0,,,,,,,https://www.fishbase.ca/summary/Pomacentrus_pavo.html
thryssa,kammalensis,Engraulidae,,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,1.0,20.0,,,,,,,https://www.fishbase.se/summary/Thryssa_kammalensis.html
lepadichthys,frenatus,gobiesocidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,6.0,,,,,,,https://www.fishbase.ca/summary/Lepadichthys_frenatus.html
pycnochromis,nigrurus,pomacentridae,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,30.0,,,,,,,https://www.fishbase.se/summary/Pycnochromis_nigrurus.html
enteromius,punctitaeniatus,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Enteromius_punctitaeniatus.html
opistognathus,randalli,Opistognathidae,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,5.0,32.0,,,,,,,https://www.fishbase.net.br/summary/Opistognathus_randalli.html
paraclinus,beebei,labrisomidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Paraclinus_beebei.html
tympanopleura,rondoni,ageneiosidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Tympanopleura_rondoni.html
apogon,susanae,apogonidae,1.0,,,,,,,,,,,1.0,,,,,,,,,,3.0,6.0,,,,,,,https://www.fishbase.se/summary/Apogon_susanae.html
astroblepus,guentheri,astroblepidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Astroblepus_guentheri.html
sphyraena,obtusata,sphyraenidae,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,5.0,200.0,?,15.0,,,,,https://www.fishbase.de/summary/Sphyraena_obtusata.html
luciobarbus,pallaryi,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Luciobarbus_pallaryi.html
cephalocassis,manillensis,ariidae,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Cephalocassis_manillensis.html
siganus,unimaculatus,siganidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,?,30.0,1.0,30.0,,,,,https://www.fishbase.ca/summary/Siganus_unimaculatus.html
enteromius,owenae,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Enteromius_owenae.html
chaetodon,falcula,chaetodontidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,15.0,,,,,,,https://www.fishbase.se/summary/Chaetodon_falcula.html
cephalopholis,taeniops,serranidae,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,20.0,300.0,,,,,,,https://www.fishbase.se/summary/Cephalopholis_taeniops.html
nannoperca,australis,percichthyidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Nannoperca_australis.html
poecilopsetta,multiradiata,pleuronectidae,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,336.0,480.0,,,,,,,https://www.fishbase.net.br/summary/Poecilopsetta_multiradiata.html
kuhlia,rupestris,kuhliidae,,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,0.0,5.0,,,,,,,https://www.fishbase.ca/summary/Kuhlia_rupestris.html
chromis,xanthopterygia,pomacentridae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,5.0,20.0,,,,,,,https://www.fishbase.ca/summary/Chromis_xanthopterygia.html
pseudochromis,marshallensis,pseudochromidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,0.0,30.0,,,,,,,https://www.fishbase.se/summary/Pseudochromis_marshallensis.html
erisphex,simplex,Aploactinidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Erisphex_simplex.html
coris,batuensis,Labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,2.0,30.0,2.0,15.0,,,,,https://www.fishbase.de/summary/Coris_batuensis.html
coryphopterus,venezuelae,gobiidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,0.0,?,0.0,1.0,,,,,https://www.fishbase.net.br/summary/Coryphopterus_venezuelae.html
cypho,purpurascens,pseudochromidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,5.0,40.0,5.0,35.0,,,,,https://www.fishbase.se/summary/Cypho_purpurascens.html
notropis,jemezanus,cyprinidae,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Notropis_jemezanus.html
takifugu,alboplumbeus,tetraodontidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Takifugu_alboplumbeus.html
stolephorus,commersonnii,engraulidae,,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,0.0,50.0,,,,,,,https://www.fishbase.se/summary/Stolephorus_commersonnii.html
drepane,longimana,drepaneidae,,,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,26.0,85.0,,,,,,,https://www.fishbase.se/summary/Drepane_longimana.html
notropis,micropteryx,Cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Notropis_micropteryx.html
moolgarda,engeli,mugilidae,,1.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,0.0,3.0,,,,,,,https://www.fishbase.de/summary/Moolgarda_engeli.html
sebastiscus,marmoratus,sebastidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,https://www.fishbase.net.br/summary/Sebastiscus_marmoratus.html
naso,minor,acanthuridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,8.0,55.0,,,,,,,https://www.fishbase.ca/summary/Naso_minor.html
gila,nigra,Cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Gila_nigra.html
canthigaster,natalensis,tetraodontidae,1.0,,,,,,,,,,,1.0,,,,,,,,,,0.0,15.0,,,,,,,https://www.fishbase.se/summary/Canthigaster_natalensis.html
planiliza,macrolepis,Mugilidae,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,10.0,?,,,,,,,https://www.fishbase.ca/summary/Planiliza_macrolepis.html
gymnocephalus,cernua,Percidae,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,2.0,85.0,,,7.0,7.5,8.0,12.0,https://www.fishbase.de/summary/Gymnocephalus_cernua.html
selene,vomer,carangidae,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,53.0,,,,,,,https://www.fishbase.net.br/summary/Selene_vomer.html
leporinus,cylindriformis,anostomidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Leporinus_cylindriformis.html
notropis,rafinesquei,Cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Notropis_rafinesquei.html
antennarius,commerson,Antennariidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,70.0,?,20.0,,,,,https://www.fishbase.ca/summary/Antennarius_commerson.html
galaxias,zebratus,galaxiidae,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,6.0,,,https://www.fishbase.se/summary/Galaxias_zebratus.html
trimma,milta,gobiidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,70.0,,,,,,,https://www.fishbase.ca/summary/Trimma_milta.html
stethojulis,terina,Labridae,1.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,7.0,,,,,,,https://www.fishbase.se/summary/Stethojulis_terina.html
plectropomus,oligacanthus,serranidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,5.0,147.0,,,,,,,https://www.fishbase.de/summary/Plectropomus_oligacanthus.html
cirripectes,stigmaticus,blenniidae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,20.0,?,10.0,,,,,https://www.fishbase.net.br/summary/Cirripectes_stigmaticus.html
myripristis,kuntee,holocentridae,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,100.0,,,,,,,https://www.fishbase.ca/summary/Myripristis_kuntee.html
scarus,tricolor,scaridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,2.0,25.0,,,,,,,https://www.fishbase.ca/summary/Scarus_tricolor.html
pseudocaranx,dentex,Carangidae,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,10.0,238.0,10.0,25.0,,,,,https://www.fishbase.se/summary/Pseudocaranx_dentex.html
kuhlia,marginata,kuhliidae,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,?,2.0,,,,,,,https://www.fishbase.ca/summary/Kuhlia_marginata.html
epinephelus,tauvina,serranidae,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,300.0,,,,,,,https://www.fishbase.se/summary/Epinephelus_tauvina.html
diplophos,orientalis,gonostomatidae,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Diplophos_orientalis.html
eugerres,brevimanus,gerreidae,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Eugerres_brevimanus.html
henicorhynchus,siamensis,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,https://www.fishbase.ca/summary/Henicorhynchus_siamensis.html
pseudalutarius,nasicornis,Monacanthidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,55.0,,,,,,,https://www.fishbase.ca/summary/Pseudalutarius_nasicornis.html
neolissochilus,vittatus,Cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Neolissochilus_vittatus.html
halichoeres,pallidus,labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,30.0,74.0,,,,,,,https://www.fishbase.ca/summary/Halichoeres_pallidus.html
naso,thynnoides,acanthuridae,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,2.0,40.0,10.0,?,,,,,https://www.fishbase.se/summary/Naso_thynnoides.html
pteragogus,flagellifer,labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,2.0,78.0,,,,,,,https://www.fishbase.net.br/summary/Pteragogus_flagellifer.html
botia,almorhae,cobitidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Botia_almorhae.html
hemiculter,tchangi,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Hemiculter_tchangi.html
paracirrhites,nisus,cirrhitidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,3.0,14.0,,,,,,,https://www.fishbase.ca/summary/Paracirrhites_nisus.html
pontinus,macrocephalus,scorpaenidae,1.0,,,,,,,,,,,1.0,,,,,,,,,,174.0,278.0,,,,,,,https://www.fishbase.se/summary/Pontinus_macrocephalus.html
leptojulis,chrysotaenia,labridae,,,,,,,1.0,,,,,1.0,,,,,,,,,,4.0,30.0,,,,,,,https://www.fishbase.se/summary/Leptojulis_chrysotaenia.html
gobiocichla,wonderi,cichlidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Gobiocichla_wonderi.html
thalassoma,jansenii,labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,15.0,1.0,12.0,,,,,https://www.fishbase.net.br/summary/Thalassoma_jansenii.html
calotomus,spinidens,Scaridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,72.0,,,,,,,https://www.fishbase.ca/summary/Calotomus_spinidens.html
astyanax,leopoldi,characidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Astyanax_leopoldi.html
scolopsis,ghanam,nemipteridae,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,20.0,,,,,,,https://www.fishbase.se/summary/Scolopsis_ghanam.html
rhinecanthus,aculeatus,balistidae,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,50.0,,,,,,,https://www.fishbase.ca/summary/Rhinecanthus_aculeatus.html
engyprosopon,xenandrus,bothidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,79.0,134.0,,,,,,,https://www.fishbase.de/summary/Engyprosopon_xenandrus.html
epinephelus,quoyanus,serranidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,?,50.0,,,,,,,https://www.fishbase.net.br/summary/Epinephelus_quoyanus.html
pectenocypris,korthausae,cyprinidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Pectenocypris_korthausae.html
cheilodipterus,artus,apogonidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,3.0,158.0,,,,,,,https://www.fishbase.ca/summary/Cheilodipterus_artus.html
selenotoca,multifasciata,scatophagidae,,1.0,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,0.0,5.0,,,,,,,https://www.fishbase.ca/summary/Selenotoca_multifasciata.html
sebastes,semicinctus,sebastidae,1.0,,,,,,,,,,,1.0,,,,,,,,,,58.0,402.0,,,,,,,https://www.fishbase.se/summary/Sebastes_semicinctus.html
macropodus,ocellatus,osphronemidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,0.0,?,,,6.0,7.5,5.0,25.0,https://www.fishbase.ca/summary/Macropodus_ocellatus.html
anabas,cobojius,anabantidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Anabas_cobojius.html
amniataba,caudavittata,terapontidae,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Amniataba_caudavittata.html
pimelodella,megalops,heptapteridae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Pimelodella_megalops.html
chaetodon,collare,chaetodontidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,20.0,,,,,,,https://www.fishbase.ca/summary/Chaetodon_collare.html
ptereleotris,melanopogon,microdesmidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,22.0,42.0,,,,,,,https://www.fishbase.ca/summary/Ptereleotris_melanopogon.html
antennarius,striatus,antennariidae,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,10.0,219.0,?,40.0,,,,,https://www.fishbase.se/summary/Antennarius_striatus.html
percopsis,omiscomaycus,percopsidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,10.0,61.0,,,,,,,https://www.fishbase.se/summary/Percopsis_omiscomaycus.html
hemichromis,letourneuxi,cichlidae,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Hemichromis_letourneuxi.html
chaetostoma,marginatum,loricariidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Chaetostoma_marginatum.html
caranx,sexfasciatus,carangidae,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,0.0,146.0,,,,,,,https://www.fishbase.net.br/summary/Caranx_sexfasciatus.html
pomacentrus,trichrourus,pomacentridae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,43.0,,,,,,,https://www.fishbase.ca/summary/Pomacentrus_trichrourus.html
petroscirtes,variabilis,blenniidae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,10.0,,,,,,,https://www.fishbase.ca/summary/Petroscirtes_variabilis.html
haemulon,carbonarium,haemulidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,3.0,25.0,,,,,,,https://www.fishbase.se/summary/Haemulon_carbonarium.html
