genus,species,family,demersal,benthopelagic,bathydemersal,pelagic,pelagic-neritic,pelagic-oceanic,reef-associated,epipelagic,mesopelagic,bathypelagic,abyssopelagic,marine,freshwater,brackish,anadromous,catadromous,amphidromous,potamodromous,limnodromous,oceanodromous,non-migratory,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,min_ph,max_ph,min_dh,max_dh,url
coris,aygula,Labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,2.0,30.0,2.0,30.0,,,,,https://www.fishbase.ca/summary/Coris_aygula.html
betta,picta,osphronemidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,6.5,7.5,,,https://www.fishbase.ca/summary/Betta_picta.html
pseudochromis,leucorhynchus,pseudochromidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,8.0,,,,,,,https://www.fishbase.ca/summary/Pseudochromis_leucorhynchus.html
bembrops,caudimacula,percophidae,,,1.0,,,,,,,,,1.0,,,,,,,,,,186.0,500.0,,,,,,,https://www.fishbase.se/summary/Bembrops_caudimacula.html
enneapterygius,niger,tripterygiidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,0.0,15.0,,,,,,,https://www.fishbase.ca/summary/Enneapterygius_niger.html
pomadasys,commersonnii,haemulidae,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,0.0,49.0,,,,,,,https://www.fishbase.se/summary/Pomadasys_commersonnii.html
cephalopholis,spiloparaea,serranidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,0.0,110.0,30.0,108.0,,,,,https://www.fishbase.de/summary/Cephalopholis_spiloparaea.html
diapterus,rhombeus,gerreidae,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,9.0,70.0,,,,,,,https://www.fishbase.net.br/summary/Diapterus_rhombeus.html
crenicichla,ternetzi,cichlidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Crenicichla_ternetzi.html
plectroglyphidodon,leucozonus,pomacentridae,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,0.0,6.0,,,,,,,https://www.fishbase.se/summary/Plectroglyphidodon_leucozonus.html
labeo,calbasu,cyprinidae,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,10.0,10.0,,,,,,,https://www.fishbase.ca/summary/Labeo_calbasu.html
labeobarbus,mungoensis,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Labeobarbus_mungoensis.html
apogonichthys,perdix,apogonidae,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,65.0,1.0,4.0,,,,,https://www.fishbase.net.br/summary/Apogonichthys_perdix.html
labeobarbus,gestetneri,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Labeobarbus_gestetneri.html
serrasalmus,odyssei,serrasalmidae,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Serrasalmus_odyssei.html
cottus,perplexus,Cottidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Cottus_perplexus.html
chromis,viridis,pomacentridae,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,20.0,,,,,,,https://www.fishbase.se/summary/Chromis_viridis.html
ostorhinchus,nigrofasciatus,apogonidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,3.0,50.0,,,,,,,https://www.fishbase.ca/summary/Ostorhinchus_nigrofasciatus.html
perca,flavescens,percidae,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,56.0,?,9.0,,,,,https://www.fishbase.se/summary/Perca_flavescens.html
moxostoma,macrolepidotum,Catostomidae,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Moxostoma_macrolepidotum.html
halichoeres,melasmapomus,labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,10.0,56.0,33.0,?,,,,,https://www.fishbase.net.br/summary/Halichoeres_melasmapomus.html
capoeta,damascina,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Capoeta_damascina.html
rhabdoblennius,nitidus,blenniidae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,2.0,,,,,,,https://www.fishbase.ca/summary/Rhabdoblennius_nitidus.html
chrysichthys,ornatus,claroteidae,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Chrysichthys_ornatus.html
