genus,species,demersal,marine,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,benthopelagic,freshwater,min_ph,max_ph,min_dh,max_dh,reef-associated,pelagic,amphidromous,brackish,non-migratory,potamodromous,bathydemersal,oceanodromous,pelagic-neritic,anadromous,pelagic-oceanic,bathypelagic,catadromous
thoburnia,rhothoeca,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
australoheros,autochthon,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
tylochromis,bangwelensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
blenniella,chrysospilos,,1.0,0,6,,,,,,,,,1.0,,,,,,,,,,,,
scorpaenopsis,oxycephala,,1.0,?,400,,,,,,,,,1.0,,,,,,,,,,,,
acanthopagrus,australis,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,
toxotes,microlepis,,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,
opistognathus,randalli,,1.0,5,32,,,,,,,,,,,,,,,,,1.0,,,,
rasbora,bankanensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
morone,americana,,1.0,0,10,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,
labropsis,manabei,,1.0,5,30,5,20,,,,,,,1.0,,,,,,,,,,,,
hippocampus,reidi,,1.0,0,60,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,
macrhybopsis,hyostoma,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
osmerus,mordax,,1.0,0,425,?,150,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,
sargocentron,spiniferum,,1.0,0,122,,,,,,,,,1.0,,,,,,,,,,,,
hypostomus,johnii,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
lepomis,auritus,1.0,,,,,,,1.0,7.0,7.0,15.0,15.0,,,,,,,,,,,,,
amblygobius,decussatus,,1.0,3,25,3,25,,,,,,,1.0,,,1.0,,,,,,,,,
lethrinus,xanthochilus,,1.0,0,150,,,,,,,,,1.0,,,,1.0,,,,,,,,
scarus,globiceps,,1.0,1,30,?,12,,,,,,,1.0,,,,,,,,,,,,
lutjanus,buccanella,,1.0,20,200,80,150,,,,,,,1.0,,,,,,,,,,,,
tometes,lebaili,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
squatina,japonica,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
scyliorhinus,torrei,,1.0,200,600,366,550,,,,,,,,,,,,,1.0,,,,,,
ossancora,eigenmanni,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
barbodes,binotatus,,,,,,,1.0,1.0,6.0,6.0,12.0,12.0,,,,,,,,,,,,,
paralichthys,albigutta,1.0,1.0,19,130,,,,,,,,,,,,,,,,,,,,,
halichoeres,melasmapomus,,1.0,10,56,33,?,,,,,,,1.0,,,,,,,,,,,,
barbodes,lateristriga,,,,,,,1.0,1.0,6.0,6.0,10.0,10.0,,,,,,,,,,,,,
oxyeleotris,marmorata,1.0,,10,?,,,,1.0,6.5,6.5,10.0,10.0,,,,1.0,,1.0,,,,,,,
anampses,meleagrides,,1.0,3,60,5,50,,,,,,,1.0,,,,,,,,,,,,
alestes,dentex,,,,,,,,1.0,6.0,6.0,4.0,4.0,,1.0,,,,1.0,,,,,,,
synanceia,alula,,1.0,1,20,,,,,,,,,1.0,,,,,,,,,,,,
pagellus,affinis,1.0,1.0,?,150,,,,,,,,,,,,,,,,,,,,,
spatuloricaria,gymnogaster,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
kuhlia,mugil,,1.0,3,18,,,,,,,,,1.0,,,1.0,,,,,,,,,
apogonichthys,ocellatus,,1.0,1,5,,,,,,,,,1.0,,,,,,,,,,,,
notropis,telescopus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
serrasalmus,compressus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
catostomus,tsiltcoosensis,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,
synodontis,rukwaensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
labeobarbus,johnstonii,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
escualosa,thoracata,,1.0,0,50,,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,
icelinus,filamentosus,1.0,1.0,18,800,,,,,,,,,,,,,,,,,,,,,
nannocharax,niloticus,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
grasseichthys,gabonensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
hyphessobrycon,borealis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
coris,ballieui,,1.0,20,146,,,,,,,,,1.0,,,,,,,,,,,,
crenicichla,multispinosa,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
rita,chrysea,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
paretroplus,nourissati,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cottus,rhotheus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
phoxinus,septimaniae,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
notropis,xaenocephalus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
notropis,altipinnis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
amphiprion,polymnus,,1.0,2,30,,,,,,,,,1.0,,,,1.0,,,,,,,,
histrio,histrio,,1.0,0,50,0,2,,,,,,,1.0,,,,,,,1.0,,,,,
fowleria,vaiulae,,1.0,3,25,3,15,,,,,,,1.0,,,,,,,,,,,,
heteroclinus,perspicillatus,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
epinephelus,chlorostigma,,1.0,4,300,,,,,,,,,1.0,,,,1.0,,,,,,,,
lutjanus,gibbus,,1.0,1,150,,,,,,,,,1.0,,,,,,,,,,,,
noturus,gyrinus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
ocynectes,maschalis,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
gila,ditaenia,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
periophthalmodon,septemradiatus,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,
labroides,dimidiatus,,1.0,0,100,1,30,,,,,,,1.0,,,,1.0,,,,,,,,
labeobarbus,gestetneri,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
gnatholepis,cauerensis,,1.0,2,50,2,20,,,,,,,1.0,,,1.0,,,,,,,,,
